GEOID,state,county,borough,tract,median_income_2020,pct_white_2020,pct_black_2020,pct_asian_2020,pct_hispanic_2020,pct_under5_2020,pct_65plus_2020,pct_owner_2020,pct_renter_2020,pop_total_2020,hh_total_2020,median_income_2021,pct_white_2021,pct_black_2021,pct_asian_2021,pct_hispanic_2021,pct_under5_2021,pct_65plus_2021,pct_owner_2021,pct_renter_2021,pop_total_2021,hh_total_2021,median_income_2022,pct_white_2022,pct_black_2022,pct_asian_2022,pct_hispanic_2022,pct_under5_2022,pct_65plus_2022,pct_owner_2022,pct_renter_2022,pop_total_2022,hh_total_2022,median_income_2023,pct_white_2023,pct_black_2023,pct_asian_2023,pct_hispanic_2023,pct_under5_2023,pct_65plus_2023,pct_owner_2023,pct_renter_2023,pop_total_2023,hh_total_2023
36005015200,36,005,Bronx,015200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84265,42.253,12.534,1.384,52.557,4.652,14.187,54.508,45.492,2601,976
36005015300,36,005,Bronx,015300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34704,9.623,46.202,0.0,65.705,4.683,12.793,10.063,89.937,3502,1749
36005015500,36,005,Bronx,015500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42118,4.28,34.75,0.983,68.802,9.575,12.27,5.069,94.931,3154,1085
36005015700,36,005,Bronx,015700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45731,6.897,50.529,0.386,48.666,7.468,10.975,9.396,90.604,5959,2267
36005015800,36,005,Bronx,015800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81000,49.538,6.338,6.092,48.615,4.985,15.2,43.446,56.554,1625,534
36005015900,36,005,Bronx,015900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24654,3.158,29.819,3.855,85.555,6.549,17.278,10.549,89.451,2153,929
36005016000,36,005,Bronx,016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97445,64.509,4.43,8.122,30.741,1.969,18.213,64.874,35.126,4063,1543
36005016100,36,005,Bronx,016100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23466,16.559,35.206,0.0,64.961,3.675,18.856,2.492,97.508,4789,2127
36005016200,36,005,Bronx,016200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102361,36.182,7.325,9.489,48.613,7.048,19.7,58.35,41.65,1802,497
36005016300,36,005,Bronx,016300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,,,,,,,,,0,0
36005016400,36,005,Bronx,016400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95781,44.354,4.968,30.894,25.745,9.124,24.752,67.519,32.481,1107,391
36005016500,36,005,Bronx,016500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59000,4.055,65.126,0.0,36.496,9.327,5.839,0.0,100.0,1233,360
36005016600,36,005,Bronx,016600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107344,25.094,16.339,5.446,54.462,6.745,9.3,44.178,55.822,2387,833
36005016700,36,005,Bronx,016700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36181,4.777,48.267,0.0,54.855,5.62,6.931,3.295,96.705,3203,1123
36005016900,36,005,Bronx,016900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47610,5.685,46.617,0.0,48.835,3.582,9.21,8.264,91.736,1759,605
36005017100,36,005,Bronx,017100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,,,,,,,,,0,0
